Membership No  Date Joined  Active  
    74903      2015-9-22    no    
    27132      2020-1-9     no    
    93730      2015-6-24    no    
    59678      2019-4-13    no    
    95726      2019-3-25    no    
    81088      2017-4-3     no    
    29322      2017-6-5     no    
    94085      2020-9-2     no    
    63015      2016-6-18    no    
    67400      2020-5-19    no    
    83551      2019-1-1     no    
    95138      2020-9-20    no    
    31973      2015-11-8    no    
    45513      2016-4-24    no    
