Membership No  Date Joined  Active  
    78367      2018-3-6     yes   
    49783      2018-6-15    no    
    12029      2018-9-25    no    
    49036      2017-9-20    yes   
    57226      2016-1-14    no    
    50695      2015-9-8     yes   
    49013      2020-6-3     yes   
    15768      2018-2-5     yes   
    27753      2018-7-13    yes   
    77584      2017-5-5     no    
    99631      2016-11-2    no    
    87264      2016-10-2    no    
    56432      2018-9-13    no    
    38306      2015-7-20    no    
    60645      2016-8-14    yes   
    63189      2020-5-14    no    
    57066      2019-7-9     no    
    54623      2019-7-2     no    
    17635      2016-11-24   no    
    53956      2016-7-2     yes   
